lat,lon,color
0.0,0.0,blue
0.0,0.72,blue
0.0,1.44,blue
0.0,2.16,blue
0.0,2.88,blue
0.0,3.6,blue
0.0,4.32,blue
0.0,5.04,blue
0.0,5.76,blue
0.0,6.48,blue
0.0,7.2,blue
0.0,7.92,blue
0.0,8.64,blue
0.0,9.36,blue
0.0,10.08,green
0.0,10.8,green
0.0,11.52,green
0.0,12.24,green
0.0,12.96,green
0.0,13.68,green
0.0,14.4,green
0.0,15.12,green
0.0,15.84,green
0.0,16.56,green
0.0,17.28,green
0.0,18.0,green
0.0,18.72,green
0.0,19.44,green
0.0,20.16,green
0.0,20.88,green
0.0,21.6,green
0.0,22.32,green
0.0,23.04,green
0.0,23.76,green
0.0,24.48,green
0.0,25.2,green
0.0,25.92,green
0.0,26.64,green
0.0,27.36,green
0.0,28.08,green
0.0,28.8,green
0.0,29.52,green
0.0,30.24,beige
0.0,30.96,green
0.0,31.68,green
0.0,32.4,blue
0.0,33.12,blue
0.0,33.84,turquoise
0.0,34.56,green
0.0,35.28,green
0.0,36.0,green
0.0,36.72,green
0.0,37.44,green
0.0,38.16,green
0.0,38.88,green
0.0,39.6,green
0.0,40.32,green
0.0,41.04,green
0.0,41.76,green
0.0,42.48,green
0.0,43.2,blue
0.0,43.92,blue
0.0,44.64,blue
0.0,45.36,blue
0.0,46.08,blue
0.0,46.8,blue
0.0,47.52,blue
0.0,48.24,blue
0.0,48.96,blue
0.0,49.68,blue
0.0,50.4,blue
0.0,51.12,blue
0.0,51.84,blue
0.0,52.56,blue
0.0,53.28,blue
0.0,54.0,blue
0.0,54.72,blue
0.0,55.44,blue
0.0,56.16,blue
0.0,56.88,blue
0.0,57.6,blue
0.0,58.32,blue
0.0,59.04,blue
0.0,59.76,blue
0.0,60.48,blue
0.0,61.2,blue
0.0,61.92,blue
0.0,62.64,blue
0.0,63.36,blue
0.0,64.08,blue
0.0,64.8,blue
0.0,65.52,blue
0.0,66.24,blue
0.0,66.96,blue
0.0,67.68,blue
0.0,68.4,blue
0.0,69.12,blue
0.0,69.84,blue
0.0,70.56,blue
0.0,71.28,blue
0.0,72.0,blue
0.0,72.72,blue
0.0,73.44,blue
0.0,74.16,blue
0.0,74.88,blue
0.0,75.6,blue
0.0,76.32,blue
0.0,77.04,blue
0.0,77.76,blue
0.0,78.48,blue
0.0,79.2,blue
0.0,79.92,blue
0.0,80.64,blue
0.0,81.36,blue
0.0,82.08,blue
0.0,82.8,blue
0.0,83.52,blue
0.0,84.24,blue
0.0,84.96,blue
0.0,85.68,blue
0.0,86.4,blue
0.0,87.12,blue
0.0,87.84,blue
0.0,88.56,blue
0.0,89.28,blue
0.0,90.0,blue
0.0,90.72,blue
0.0,91.44,blue
0.0,92.16,blue
0.0,92.88,blue
0.0,93.6,blue
0.0,94.32,blue
0.0,95.04,blue
0.0,95.76,blue
0.0,96.48,blue
0.0,97.2,blue
0.0,97.92,blue
0.0,98.64,turquoise
0.0,99.36,blue
0.0,100.08,green
0.0,100.8,green
0.0,101.52,green
0.0,102.24,green
0.0,102.96,green
0.0,103.68,blue
0.0,104.4,turquoise
0.0,105.12,blue
0.0,105.84,blue
0.0,106.56,blue
0.0,107.28,blue
0.0,108.0,blue
0.0,108.72,blue
0.0,109.44,green
0.0,110.16,green
0.0,110.88,green
0.0,111.6,green
0.0,112.32,green
0.0,113.04,green
0.0,113.76,green
0.0,114.48,green
0.0,115.2,green
0.0,115.92,green
0.0,116.64,green
0.0,117.36,green
0.0,118.08,blue
0.0,118.8,blue
0.0,119.52,turquoise
0.0,120.24,blue
0.0,120.96,blue
0.0,121.68,blue
0.0,122.4,blue
0.0,123.12,blue
0.0,123.84,blue
0.0,124.56,blue
0.0,125.28,blue
0.0,126.0,blue
0.0,126.72,blue
0.0,127.44,blue
0.0,128.16,blue
0.0,128.88,blue
0.0,129.6,blue
0.0,130.32,blue
0.0,131.04,blue
0.0,131.76,blue
0.0,132.48,blue
0.0,133.2,blue
0.0,133.92,blue
0.0,134.64,blue
0.0,135.36,blue
0.0,136.08,blue
0.0,136.8,blue
0.0,137.52,blue
0.0,138.24,blue
0.0,138.96,blue
0.0,139.68,blue
0.0,140.4,blue
0.0,141.12,blue
0.0,141.84,blue
0.0,142.56,blue
0.0,143.28,blue
0.0,144.0,blue
0.0,144.72,blue
0.0,145.44,blue
0.0,146.16,blue
0.0,146.88,blue
0.0,147.6,blue
0.0,148.32,blue
0.0,149.04,blue
0.0,149.76,blue
0.0,150.48,blue
0.0,151.2,blue
0.0,151.92,blue
0.0,152.64,blue
0.0,153.36,blue
0.0,154.08,blue
0.0,154.8,blue
0.0,155.52,blue
0.0,156.24,blue
0.0,156.96,blue
0.0,157.68,blue
0.0,158.4,blue
0.0,159.12,blue
0.0,159.84,blue
0.0,160.56,blue
0.0,161.28,blue
0.0,162.0,blue
0.0,162.72,blue
0.0,163.44,blue
0.0,164.16,blue
0.0,164.88,blue
0.0,165.6,blue
0.0,166.32,blue
0.0,167.04,blue
0.0,167.76,blue
0.0,168.48,blue
0.0,169.2,blue
0.0,169.92,blue
0.0,170.64,blue
0.0,171.36,blue
0.0,172.08,blue
0.0,172.8,blue
0.0,173.52,blue
0.0,174.24,blue
0.0,174.96,blue
0.0,175.68,blue
0.0,176.4,blue
0.0,177.12,blue
0.0,177.84,blue
0.0,178.56,blue
0.0,179.28,blue
0.0,180.0,blue
0.0,-179.28,blue
0.0,-178.56,blue
0.0,-177.84,blue
0.0,-177.12,blue
0.0,-176.4,blue
0.0,-175.68,blue
0.0,-174.96,blue
0.0,-174.24,blue
0.0,-173.52,blue
0.0,-172.8,blue
0.0,-172.08,blue
0.0,-171.36,blue
0.0,-170.64,blue
0.0,-169.92,blue
0.0,-169.2,blue
0.0,-168.48,blue
0.0,-167.76,blue
0.0,-167.04,blue
0.0,-166.32,blue
0.0,-165.6,blue
0.0,-164.88,blue
0.0,-164.16,blue
0.0,-163.44,blue
0.0,-162.72,blue
0.0,-162.0,blue
0.0,-161.28,blue
0.0,-160.56,blue
0.0,-159.84,blue
0.0,-159.12,blue
0.0,-158.4,blue
0.0,-157.68,blue
0.0,-156.96,blue
0.0,-156.24,blue
0.0,-155.52,blue
0.0,-154.8,blue
0.0,-154.08,blue
0.0,-153.36,blue
0.0,-152.64,blue
0.0,-151.92,blue
0.0,-151.2,blue
0.0,-150.48,blue
0.0,-149.76,blue
0.0,-149.04,blue
0.0,-148.32,blue
0.0,-147.6,blue
0.0,-146.88,blue
0.0,-146.16,blue
0.0,-145.44,blue
0.0,-144.72,blue
0.0,-144.0,blue
0.0,-143.28,blue
0.0,-142.56,blue
0.0,-141.84,blue
0.0,-141.12,blue
0.0,-140.4,blue
0.0,-139.68,blue
0.0,-138.96,blue
0.0,-138.24,blue
0.0,-137.52,blue
0.0,-136.8,blue
0.0,-136.08,blue
0.0,-135.36,blue
0.0,-134.64,blue
0.0,-133.92,blue
0.0,-133.2,blue
0.0,-132.48,blue
0.0,-131.76,blue
0.0,-131.04,blue
0.0,-130.32,blue
0.0,-129.6,blue
0.0,-128.88,blue
0.0,-128.16,blue
0.0,-127.44,blue
0.0,-126.72,blue
0.0,-126.0,blue
0.0,-125.28,blue
0.0,-124.56,blue
0.0,-123.84,blue
0.0,-123.12,blue
0.0,-122.4,blue
0.0,-121.68,blue
0.0,-120.96,blue
0.0,-120.24,blue
0.0,-119.52,blue
0.0,-118.8,blue
0.0,-118.08,blue
0.0,-117.36,blue
0.0,-116.64,blue
0.0,-115.92,blue
0.0,-115.2,blue
0.0,-114.48,blue
0.0,-113.76,blue
0.0,-113.04,blue
0.0,-112.32,blue
0.0,-111.6,blue
0.0,-110.88,blue
0.0,-110.16,blue
0.0,-109.44,blue
0.0,-108.72,blue
0.0,-108.0,blue
0.0,-107.28,blue
0.0,-106.56,blue
0.0,-105.84,blue
0.0,-105.12,blue
0.0,-104.4,blue
0.0,-103.68,blue
0.0,-102.96,blue
0.0,-102.24,blue
0.0,-101.52,blue
0.0,-100.8,blue
0.0,-100.08,blue
0.0,-99.36,blue
0.0,-98.64,blue
0.0,-97.92,blue
0.0,-97.2,blue
0.0,-96.48,blue
0.0,-95.76,blue
0.0,-95.04,blue
0.0,-94.32,blue
0.0,-93.6,blue
0.0,-92.88,blue
0.0,-92.16,blue
0.0,-91.44,blue
0.0,-90.72,blue
0.0,-90.0,blue
0.0,-89.28,blue
0.0,-88.56,blue
0.0,-87.84,blue
0.0,-87.12,blue
0.0,-86.4,blue
0.0,-85.68,blue
0.0,-84.96,blue
0.0,-84.24,blue
0.0,-83.52,blue
0.0,-82.8,blue
0.0,-82.08,blue
0.0,-81.36,blue
0.0,-80.64,blue
0.0,-79.92,green
0.0,-79.2,green
0.0,-78.48,green
0.0,-77.76,green
0.0,-77.04,green
0.0,-76.32,green
0.0,-75.6,green
0.0,-74.88,green
0.0,-74.16,green
0.0,-73.44,green
0.0,-72.72,green
0.0,-72.0,green
0.0,-71.28,green
0.0,-70.56,green
0.0,-69.84,green
0.0,-69.12,green
0.0,-68.4,green
0.0,-67.68,green
0.0,-66.96,green
0.0,-66.24,green
0.0,-65.52,green
0.0,-64.8,green
0.0,-64.08,green
0.0,-63.36,green
0.0,-62.64,green
0.0,-61.92,green
0.0,-61.2,green
0.0,-60.48,green
0.0,-59.76,green
0.0,-59.04,green
0.0,-58.32,green
0.0,-57.6,green
0.0,-56.88,green
0.0,-56.16,green
0.0,-55.44,green
0.0,-54.72,green
0.0,-54.0,green
0.0,-53.28,green
0.0,-52.56,green
0.0,-51.84,green
0.0,-51.12,green
0.0,-50.4,turquoise
0.0,-49.68,green
0.0,-48.96,turquoise
0.0,-48.24,blue
0.0,-47.52,blue
0.0,-46.8,blue
0.0,-46.08,blue
0.0,-45.36,blue
0.0,-44.64,blue
0.0,-43.92,blue
0.0,-43.2,blue
0.0,-42.48,blue
0.0,-41.76,blue
0.0,-41.04,blue
0.0,-40.32,blue
0.0,-39.6,blue
0.0,-38.88,blue
0.0,-38.16,blue
0.0,-37.44,blue
0.0,-36.72,blue
0.0,-36.0,blue
0.0,-35.28,blue
0.0,-34.56,blue
0.0,-33.84,blue
0.0,-33.12,blue
0.0,-32.4,blue
0.0,-31.68,blue
0.0,-30.96,blue
0.0,-30.24,blue
0.0,-29.52,blue
0.0,-28.8,blue
0.0,-28.08,blue
0.0,-27.36,blue
0.0,-26.64,blue
0.0,-25.92,blue
0.0,-25.2,blue
0.0,-24.48,blue
0.0,-23.76,blue
0.0,-23.04,blue
0.0,-22.32,blue
0.0,-21.6,blue
0.0,-20.88,blue
0.0,-20.16,blue
0.0,-19.44,blue
0.0,-18.72,blue
0.0,-18.0,blue
0.0,-17.28,blue
0.0,-16.56,blue
0.0,-15.84,blue
0.0,-15.12,blue
0.0,-14.4,blue
0.0,-13.68,blue
0.0,-12.96,blue
0.0,-12.24,blue
0.0,-11.52,blue
0.0,-10.8,blue
0.0,-10.08,blue
0.0,-9.36,blue
0.0,-8.64,blue
0.0,-7.92,blue
0.0,-7.2,blue
0.0,-6.48,blue
0.0,-5.76,blue
0.0,-5.04,blue
0.0,-4.32,blue
0.0,-3.6,blue
0.0,-2.88,blue
0.0,-2.16,blue
0.0,-1.44,blue
0.0,-0.72,blue
0.36,122.76,blue
-0.36,-122.76,blue
0.36,123.48,green
-0.36,-123.48,blue
0.36,124.2,blue
-0.36,-124.2,blue
0.36,124.92,blue
-0.36,-124.92,blue
0.36,125.64,blue
-0.36,-125.64,blue
0.36,126.36,blue
-0.36,-126.36,blue
